dpto;dpto_desc;distrito;dist_desc;area_1;barloc;barlo_desc;viv_2014;div_post;zona;cod_post;obs;cod_bar
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;52;SANTA ROSA;1224;18;15;1518;;52
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;51;VIRGEN DE FÁTIMA;1266;17;15;1517;;51
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;57;SANTISIMA TRINIDAD;1147;19;15;1519;;57
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;63;MBOCAYATY;1299;22;15;1522;;63
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;50;TABLADA NUEVA;715;15;15;1515;;50
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;60;MBURUCUYA;1140;21;15;1521;;60
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;53;VIRGEN DE LA ASUNCIÓN;1048;32;15;1532;;53
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;56;CAÑADA DEL YBYRAY;492;31;15;1531;;56
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;61;MADAME ELISA ALICIA LYNCH;1212;25;15;1525;;61
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;64;ÑU GUASU;0;23;15;1523;PARQUE GUASU;64
0;ASUNCIÓN;12;SAN ROQUE;1;23;JARA;887;4;12;1204;;23
0;ASUNCIÓN;12;SAN ROQUE;1;25;VIRGEN DEL HUERTO;1238;6;12;1206;;25
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;59;LAS LOMAS;746;28;15;1528;;59
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;55;SANTO DOMINGO;708;30;15;1530;;55
0;ASUNCIÓN;12;SAN ROQUE;1;21;LAS MERCEDES;703;9;12;1209;;21
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;3;DR. GASPAR RODRIGUEZ DE FRANCIA;965;11;10;1011;;3
0;ASUNCIÓN;14;LA RECOLETA;1;49;SAN JORGE;777;1;14;1401;;49
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;5;LA ENCARNACION;1052;12;10;1012;;5
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;2;SAN ANTONIO;891;5;10;1005;;2
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;58;MANORA;503;29;15;1529;;58
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;4;ITA PYTA PUNTA;752;2;10;1002;;4
0;ASUNCIÓN;12;SAN ROQUE;1;24;MARISCAL FRANCISCO SOLANO LÓPEZ;670;8;12;1208;;24
0;ASUNCIÓN;14;LA RECOLETA;1;45;YCUA SATI;888;10;14;1410;;45
0;ASUNCIÓN;12;SAN ROQUE;1;13;SAN ROQUE;846;18;12;1218;;13
0;ASUNCIÓN;14;LA RECOLETA;1;42;VILLA MORRA;1088;11;14;1411;;42
0;ASUNCIÓN;14;LA RECOLETA;1;41;RECOLETA;817;12;14;1412;;41
0;ASUNCIÓN;14;LA RECOLETA;1;44;SAN CRISTOBAL;813;8;14;1408;;44
0;ASUNCIÓN;12;SAN ROQUE;1;20;CIUDAD NUEVA;884;26;12;1226;;20
0;ASUNCIÓN;11;LA CATEDRAL;1;9;GRAL. JOSÉ EDUVIGIS DÍAZ;1049;2;11;1102;;9
0;ASUNCIÓN;12;SAN ROQUE;1;14;TTE. SILVIO PETTIROSSI;1273;22;12;1222;;14
0;ASUNCIÓN;12;SAN ROQUE;1;18;MBURICAO;1006;29;12;1229;;18
0;ASUNCIÓN;12;SAN ROQUE;1;19;GENERAL BERNARDINO CABALLERO;736;28;12;1228;;19
0;ASUNCIÓN;14;LA RECOLETA;1;46;LUIS ALBERTO DE HERRERA;695;5;14;1405;;46
0;ASUNCIÓN;11;LA CATEDRAL;1;10;OBRERO INTENDENTE B. GUGGIARI;1064;5;11;1105;;10
0;ASUNCIÓN;14;LA RECOLETA;1;43;MARISCAL JOSÉ FÉLIX ESTIGARRIBIA;1069;16;14;1416;;43
0;ASUNCIÓN;12;SAN ROQUE;1;16;PINOZÁ;986;36;12;1236;;16
0;ASUNCIÓN;14;LA RECOLETA;1;40;TEMBETARY;955;21;14;1421;;40
0;ASUNCIÓN;14;LA RECOLETA;1;39;LOS LAURELES;979;20;14;1420;;39
0;ASUNCIÓN;14;LA RECOLETA;1;36;HIPÓDROMO;1072;25;14;1425;;36
0;ASUNCIÓN;14;LA RECOLETA;1;48;YTAY;802;3;14;1403;;48
0;ASUNCIÓN;14;LA RECOLETA;1;47;SANTA MARÍA;1217;4;14;1404;;47
0;ASUNCIÓN;14;LA RECOLETA;1;38;VILLA AURELIA;977;19;14;1419;;38
0;ASUNCIÓN;12;SAN ROQUE;1;15;SAN VICENTE;1116;40;12;1240;;15
0;ASUNCIÓN;12;SAN ROQUE;1;17;VISTA ALEGRE;762;34;12;1234;;17
0;ASUNCIÓN;14;LA RECOLETA;1;34;NAZARETH;1070;22;14;1422;;34
0;ASUNCIÓN;14;LA RECOLETA;1;37;SAN PABLO;1080;31;14;1431;;37
0;ASUNCIÓN;14;LA RECOLETA;1;35;TERMINAL;476;24;14;1424;;35
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;1;SAJONIA;780;1;10;1001;;1
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;33;PRESIDENTE CARLOS ANTONIO LÓPEZ;1083;7;10;1007;;33
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;6;TACUMBU;1017;18;10;1018;;6
0;ASUNCIÓN;13;SANTA MARÍA DE LA ASUNCIÓN;1;30;ITA ENRAMADA;718;6;13;1306;;30
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;54;BELLA VISTA;959;35;15;1535;;54
0;ASUNCIÓN;11;LA CATEDRAL;1;8;LA CATEDRAL;1177;1;11;1101;;8
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;22;BAÑADO CARA CARA;613;14;15;1514;;22
0;ASUNCIÓN;12;SAN ROQUE;1;26;BANCO SAN MIGUEL;427;1;12;1201;;26
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;65;LOMA PYTA;964;9;15;1509;;65
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;66;SAN BLAS;1243;6;15;1506;;66
0;ASUNCIÓN;12;SAN ROQUE;1;12;RICARDO BRUGADA;912;13;12;1213;;12
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;68;ZEBALLOS CUE;1037;4;15;1504;;68
0;ASUNCIÓN;13;SANTA MARÍA DE LA ASUNCIÓN;1;31;SANTA LIBRADA;730;3;13;1303;;31
0;ASUNCIÓN;13;SANTA MARÍA DE LA ASUNCIÓN;1;7;JUKYTY;842;5;13;1305;;7
0;ASUNCIÓN;11;LA CATEDRAL;1;27;SAN CAYETANO;1038;14;11;1114;;27
0;ASUNCIÓN;13;SANTA MARÍA DE LA ASUNCIÓN;1;28;REPUBLICANO;1158;2;13;1302;;28
0;ASUNCIÓN;11;LA CATEDRAL;1;11;ROBERTO L. PETIT;1184;9;11;1109;;11
0;ASUNCIÓN;11;LA CATEDRAL;1;29;SANTA ANA;742;13;11;1113;;29
0;ASUNCIÓN;12;SAN ROQUE;1;32;SAN JUAN;805;2;12;1202;;32
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;68;ZEBALLOS CUE;637;1;15;1501;;68
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;68;ZEBALLOS CUE;22;3;15;1503;AREA DE CONSTRUCCION DE MAS DE 1000 VIVIENDAS (PREDIO DEL RC4);68
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;68;ZEBALLOS CUE;1037;2;15;1502;;68
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;68;ZEBALLOS CUE;988;5;15;1505;;68
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;65;LOMA PYTA;1133;7;15;1507;;65
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;65;LOMA PYTA;923;8;15;1508;;65
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;65;LOMA PYTA;1219;10;15;1510;;65
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;67;BOTÁNICO;1033;11;15;1511;;67
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;60;MBURUCUYA;1214;20;15;1520;;60
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;61;MADAME ELISA ALICIA LYNCH;1003;26;15;1526;;61
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;59;LAS LOMAS;821;27;15;1527;;59
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;53;VIRGEN DE LA ASUNCIÓN;822;33;15;1533;;53
0;ASUNCIÓN;15;SANTÍSIMA TRINIDAD;1;54;BELLA VISTA;888;34;15;1534;;54
0;ASUNCIÓN;12;SAN ROQUE;1;23;JARA;811;5;12;1205;;23
0;ASUNCIÓN;12;SAN ROQUE;1;23;JARA;975;3;12;1203;;23
0;ASUNCIÓN;12;SAN ROQUE;1;18;MBURICAO;1022;30;12;1230;;18
0;ASUNCIÓN;14;LA RECOLETA;1;41;RECOLETA;903;13;14;1413;;41
0;ASUNCIÓN;14;LA RECOLETA;1;43;MARISCAL JOSÉ FÉLIX ESTIGARRIBIA;1103;15;14;1415;;43
0;ASUNCIÓN;14;LA RECOLETA;1;38;VILLA AURELIA;751;17;14;1417;;38
0;ASUNCIÓN;14;LA RECOLETA;1;38;VILLA AURELIA;913;18;14;1418;;38
0;ASUNCIÓN;14;LA RECOLETA;1;37;SAN PABLO;913;27;14;1427;;37
0;ASUNCIÓN;14;LA RECOLETA;1;37;SAN PABLO;1050;28;14;1428;;37
0;ASUNCIÓN;14;LA RECOLETA;1;37;SAN PABLO;1022;29;14;1429;;37
0;ASUNCIÓN;14;LA RECOLETA;1;37;SAN PABLO;589;32;14;1432;;37
0;ASUNCIÓN;14;LA RECOLETA;1;34;NAZARETH;904;23;14;1423;;34
0;ASUNCIÓN;12;SAN ROQUE;1;17;VISTA ALEGRE;850;32;12;1232;;17
0;ASUNCIÓN;12;SAN ROQUE;1;17;VISTA ALEGRE;729;33;12;1233;;17
0;ASUNCIÓN;12;SAN ROQUE;1;17;VISTA ALEGRE;941;31;12;1231;;17
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;2;SAN ANTONIO;1108;3;10;1003;;2
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;2;SAN ANTONIO;1131;4;10;1004;;2
0;ASUNCIÓN;10;LA ENCARNACIÓN;1;3;DR. GASPAR RODRIGUEZ DE FRANCIA;1087;9;10;1009;;3
