DEPARTAMENTO;LOCALIDAD;CODIGO POSTAL
Artigas;Baltasar Brum;55000
Artigas;Bella Unión;55100
Artigas;Bernabé Rivera;55000
Artigas;Cainsa;55100
Artigas;Cainza Campo 3;55100
Artigas;Calnu;55100
Artigas;Camaño;55000
Artigas;Catalan Grande;55000
Artigas;Catalan Volcan;55000
Artigas;Cerrito;55000
Artigas;Cerro Ejido;55000
Artigas;Cerro San Eugenio;55000
Artigas;Cerro Signorelli;55000
Artigas;Chiflero;55000
Artigas;Colonia España;55100
Artigas;Colonia Estrella;55100
Artigas;Colonia José Artigas;55000
Artigas;Colonia Palma;55100
Artigas;Colonia Pintado;55000
Artigas;Colonia Viñar;55100
Artigas;Coronado;55100
Artigas;Cuareim;55100
Artigas;Cuaro;55000
Artigas;Diego Lamas;55000
Artigas;Estiba;55000
Artigas;Fagundez;55000
Artigas;Franquia;55100
Artigas;Guyubira;55000
Artigas;Javier de Viana;55000
Artigas;La Bolsa;55000
Artigas;Las Piedras;55100
Artigas;Lenguazo;55100
Artigas;Meneses;55000
Artigas;Mones Quintela;55100
Artigas;Paguero;55000
Artigas;Palma Sola;55000
Artigas;Paredon;55100
Artigas;Paso Campamento;55000
Artigas;Paso de la Cruz;55100
Artigas;Paso de Leon;55000
Artigas;Paso de Ramos;55000
Artigas;Paso Farias;55000
Artigas;Patitas;55000
Artigas;Piedra Pintada;55000
Artigas;Pintadito;55000
Artigas;Pintado;55000
Artigas;Pintado Grande;55000
Artigas;Port. de Hierro y Campodonico;55100
Artigas;Rincón de Pacheco;55000
Artigas;Sarandi de Cuaro;55000
Artigas;Sarandi de Yacuy;50200
Artigas;Sequeira;55000
Artigas;Tamandua;55000
Artigas;Taruman;55000
Artigas;Tomás Gomensoro;55100
Artigas;Topador;55000
Artigas;Zanja Aruera;55000
Canelones;Aeropuerto Internacional de Carrasco;15000
Canelones;Aguas Corrientes;90200
Canelones;Altos de la Tahona;15800
Canelones;Araminda;15400
